gtfsId,name,lat,lon,location,zoneId,mode,duration,walk_distance
HSL:2431251,Latokaski,60.17666,24.65685,"60.17666, 24.65685",C,BUS,46.0,518.0
HSL:2443221,Vesiniityntie,60.138376,24.682687,"60.138376, 24.682687",C,BUS,47.0,1363.0
HSL:2443226,Soukanmyötäle,60.15236,24.66626,"60.15236, 24.66626",C,BUS,28.0,709.0
HSL:9226230,Brusaksentie,60.421925,25.255975,"60.421925, 25.255975",D,BUS,67.0,350.0
HSL:2443227,Espoonlahdensolmu,60.153208,24.667688,"60.153208, 24.667688",C,BUS,27.0,512.0
HSL:2443228,Merikansantie,60.148733,24.665535,"60.148733, 24.665535",C,BUS,32.0,821.0
HSL:2111299,Gransinmäenportti,60.22005,24.80436,"60.22005, 24.80436",B,BUS,26.0,966.0
HSL:2431240,Latokasken koulu,60.178987,24.654948,"60.178987, 24.654948",C,BUS,45.0,480.0
HSL:6303003,Mastkärr,60.190393,24.271201,"60.190393, 24.271201",D,BUS,110.0,1068.0
HSL:1130111,Kansallismuseo,60.17419,24.93349,"60.17419, 24.93349",A,BUS,7.0,367.0
HSL:1130112,Leppäsuonkatu,60.16818,24.923302,"60.16818, 24.923302",A,BUS,13.0,610.0
HSL:6303002,Jyrkännetie,60.193857,24.261159,"60.193857, 24.261159",D,BUS,104.0,624.0
HSL:1130113,Pohj. Rautatiekatu,60.170862,24.930898,"60.170862, 24.930898",A,BUS,6.0,315.0
HSL:6303001,Jyrkännetie,60.192339,24.262109,"60.192339, 24.262109",D,BUS,102.0,477.0
HSL:6303007,Karskog,60.172658,24.283591,"60.172658, 24.283591",D,BUS,93.0,937.0
HSL:6303006,Raiviontie,60.189011,24.284748,"60.189011, 24.284748",D,BUS,121.0,1846.0
HSL:6303005,Raiviontie,60.188498,24.286477,"60.188498, 24.286477",D,BUS,123.0,1958.0
HSL:6303004,Mastkärr,60.190251,24.269025,"60.190251, 24.269025",D,BUS,108.0,948.0
HSL:1130110,Hanken,60.171824,24.924038,"60.171824, 24.924038",A,BUS,10.0,393.0
HSL:1130119,Perhonkatu,60.17134,24.92016,"60.17134, 24.92016",A,BUS,13.0,576.0
HSL:6303008,Karskog,60.17316,24.28346,"60.17316, 24.28346",D,BUS,94.0,1005.0
HSL:1130115,Leppäsuonkatu,60.168485,24.923568,"60.168485, 24.923568",A,BUS,13.0,585.0
HSL:9226219,Lampetas,60.426023,25.254642,"60.426023, 25.254642",D,BUS,66.0,271.0
HSL:2111281,Vallikatu,60.22904,24.81383,"60.22904, 24.81383",B,BUS,32.0,1534.0
HSL:9226218,Brusaksentie,60.422542,25.25485,"60.422542, 25.25485",D,BUS,65.0,256.0
HSL:9226217,Käsiksentie,60.420212,25.254323,"60.420212, 25.254323",D,BUS,66.0,370.0
HSL:9226216,Lampetas,60.426205,25.254507,"60.426205, 25.254507",D,BUS,65.0,256.0
HSL:2111280,Puustellinmäki,60.21955,24.82102,"60.21955, 24.82102",B,BUS,24.0,887.0
HSL:9226215,Koulumäki,60.430718,25.254243,"60.430718, 25.254243",D,BUS,66.0,256.0
HSL:9226214,Jungfrustenintie,60.469845,25.250117,"60.469845, 25.250117",D,BUS,67.0,389.0
HSL:9226213,Jungfrustenintie,60.470064,25.247907,"60.470064, 25.247907",D,BUS,65.0,264.0
HSL:9226212,Haversbackantie,60.43706,25.24765,"60.43706, 25.24765",D,BUS,68.0,301.0
HSL:9226211,Haversbackantie,60.436636,25.247597,"60.436636, 25.247597",D,BUS,67.0,256.0
HSL:9226210,Hommanäsintie,60.444093,25.24524,"60.444093, 25.24524",D,BUS,69.0,331.0
HSL:9620600,Nummenkylä,60.506744,25.098604,"60.506744, 25.098604",D,BUS,58.0,878.0
HSL:1130103,Apollonkatu,60.175862,24.922297,"60.175862, 24.922297",A,BUS,12.0,311.0
HSL:1130104,Apollonkatu,60.175698,24.921793,"60.175698, 24.921793",A,BUS,12.0,326.0
HSL:1130105,Kansallismuseo,60.17391,24.93328,"60.17391, 24.93328",A,BUS,8.0,389.0
HSL:1130106,Hesperian puisto,60.17884,24.92917,"60.17884, 24.92917",A,BUS,9.0,364.0
HSL:1130107,Hesperian puisto,60.17714,24.92988,"60.17714, 24.92988",A,BUS,7.0,222.0
HSL:9226229,Kålbackantie,60.40789,25.268195,"60.40789, 25.268195",D,BUS,63.0,256.0
HSL:9226228,Kålbackantie,60.408537,25.268675,"60.408537, 25.268675",D,BUS,64.0,331.0
HSL:9226227,Hemgård,60.412108,25.26331,"60.412108, 25.26331",D,BUS,63.0,259.0
HSL:2431260,Kaskenpolttaja,60.17801,24.66063,"60.17801, 24.66063",C,BUS,48.0,569.0
HSL:9226226,Hemgård,60.413357,25.263565,"60.413357, 25.263565",D,BUS,65.0,395.0
HSL:9226225,Ketunarontie,60.470257,25.262365,"60.470257, 25.262365",D,BUS,67.0,339.0
HSL:9226224,Ketunarontie,60.470385,25.260995,"60.470385, 25.260995",D,BUS,66.0,264.0
HSL:9226223,Wessmanin tupa,60.415632,25.25889,"60.415632, 25.25889",D,BUS,65.0,320.0
HSL:2161501,Koivuhovi,60.206972,24.703023,"60.206972, 24.703023",B,RAIL,25.0,313.0
HSL:9226222,Wessmanin tupa,60.415777,25.257725,"60.415777, 25.257725",D,BUS,64.0,256.0
HSL:9226221,Käsiksentie,60.419297,25.254857,"60.419297, 25.254857",D,BUS,64.0,256.0
HSL:9226220,Koulumäki,60.430535,25.254848,"60.430535, 25.254848",D,BUS,67.0,303.0
HSL:4910221,Maratontie,60.250117,25.1122,"60.250117, 25.1122",B,BUS,40.0,635.0
HSL:4910222,Maratontie,60.251153,25.110441,"60.251153, 25.110441",B,BUS,39.0,500.0
HSL:1600216,Knutersintie,60.25977,25.208407,"60.25977, 25.208407",C,BUS,40.0,336.0
HSL:1600217,Korsnäsintie,60.260177,25.219923,"60.260177, 25.219923",C,BUS,43.0,503.0
HSL:1600214,Karhusaarentie,60.25475,25.190433,"60.25475, 25.190433",C,BUS,38.0,489.0
HSL:1600215,Knutersintie,60.259785,25.211032,"60.259785, 25.211032",C,BUS,44.0,612.0
HSL:1600218,Korsnäsintie,60.260228,25.218075,"60.260228, 25.218075",C,BUS,41.0,389.0
HSL:1130139,Hanken,60.171204,24.926277,"60.171204, 24.926277",A,BUS,8.0,309.0
HSL:9214212,Träskomossen,60.34823,25.139113,"60.34823, 25.139113",D,BUS,38.0,257.0
HSL:9214213,Träskomossen,60.348392,25.141493,"60.348392, 25.141493",D,BUS,42.0,486.0
HSL:9214216,Paisbackantie,60.34661,25.152565,"60.34661, 25.152565",D,BUS,53.0,1306.0
HSL:1600212,Östersundom 2,60.253138,25.183522,"60.253138, 25.183522",C,BUS,37.0,399.0
HSL:9214217,Paisbackantie,60.347115,25.152818,"60.347115, 25.152818",D,BUS,51.0,393.0
HSL:1600213,Karhusaarentie,60.255158,25.192102,"60.255158, 25.192102",C,BUS,39.0,512.0
HSL:9214218,Svartböle,60.354335,25.157322,"60.354335, 25.157322",D,BUS,40.0,285.0
HSL:1600210,Östersundom,60.2514,25.173983,"60.2514, 25.173983",C,BUS,36.0,388.0
HSL:9214219,Svartböle,60.35473,25.15923,"60.35473, 25.15923",D,BUS,42.0,402.0
HSL:1600211,Östersundom 2,60.253477,25.185895,"60.253477, 25.185895",C,BUS,41.0,678.0
HSL:1130122,Taivallahti,60.17616,24.9181,"60.17616, 24.9181",A,BUS,15.0,570.0
HSL:1130123,Taivallahti,60.176465,24.917584,"60.176465, 24.917584",A,BUS,16.0,627.0
HSL:1130125,Arkadiankatu,60.171232,24.920375,"60.171232, 24.920375",A,BUS,13.0,584.0
